,Unnamed: 0,Unnamed: 0.1,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active,verb_ratio,noun_ratio,prof_ratio
10,11,11,Aanet: Attribute attention network for person re-identifications,"This paper proposes Attribute Attention Network (AANet), a new architecture that integrates person attributes and attribute attention maps into a classification framework to solve the person re-identification (re-ID) problem. Many person re-ID models typically employ semantic cues such as body parts or human pose to improve the re-ID performance. Attribute information, however, is often not utilized. The proposed AANet leverages on a baseline model that uses body parts and integrates the key attribute information in an unified learning framework. The AANet consists of a global person ID task, a part detection task and a crucial attribute detection task. By estimating the class responses of individual attributes and combining them to form the attribute attention map (AAM), a very strong discriminatory representation is constructed. The proposed AANet outperforms the best state-of-the-art method cite{Sun 2018 ECCV} using ResNet-50 by 3.36% in mAP and 3.12% in Rank-1 accuracy on DukeMTMC-reID dataset. On Market1501 dataset, AANet achieves 92.38% mAP and 95.10% Rank-1 accuracy with re-ranking, outperforming~cite{kalayeh2018human}, another state of the art method using ResNet-152, by 1.42% in mAP and 0.47% in Rank-1 accuracy. In addition, AANet can perform person attribute prediction (e.g., gender, hair length, clothing length etc.), and localize the attributes in the query image.",60005510,Nanyang Technological University,Singapore City,Singapore,"['1712', '1707']",22.444444444444446,0.18482093663911847,0.5188980716253444,1,0.0916030534351145,0.08396946564885496,0.46747967479674796
11,12,12,Online high rank matrix completion,"Recent advances in matrix completion enable data imputation in full-rank matrices by exploiting low dimensional (nonlinear) latent structure. In this paper, we develop a new model for high rank matrix completion (HRMC), together with batch and online methods to fit the model and out-of-sample extension to complete new data. The method works by (implicitly) mapping the data into a high dimensional polynomial feature space using the kernel trick; importantly, the data occupies a low dimensional subspace in this feature space, even when the original data matrix is of full-rank. The online method can handle streaming or sequential data and adapt to non-stationary latent structure, and enjoys much lower space and time complexity than previous methods for HRMC. For example, the time complexity is reduced from O(n 3) to O(r 3), where n is the number of data points, r is the matrix rank in the feature space, and rll n. We also provide guidance on sampling rate required for these methods to succeed. Experimental results on synthetic data and motion data validate the performance of the proposed methods.",60007776,Cornell University,Ithaca,United States,"['1712', '1707']",25.42857142857143,0.025066287878787875,0.4972348484848485,1,0.09433962264150944,0.014150943396226415,0.27184466019417475
12,13,13,Exploiting edge features for graph neural networks,"Edge features contain important information about graphs. However, current state-of-the-art neural network models designed for graph learning, eg, graph convolutional networks (GCN) and graph attention networks (GAT), inadequately utilize edge features, especially multi-dimensional edge features. In this paper, we build a new framework for a family of new graph neural network models that can more sufficiently exploit edge features, including those of undirected or multi-dimensional edges. The proposed framework can consolidate current graph neural network models, e.g., GCN and GAT. The proposed framework and new models have the following novelties: First, we propose to use doubly stochastic normalization of graph edge features instead of the commonly used row or symmetric normalization approaches used in current graph neural networks. Second, we construct new formulas for the operations in each individual layer so that they can handle multi-dimensional edge features. Third, for the proposed new framework, edge features are adaptive across network layers. As a result, our proposed new framework and new models are able to exploit a rich source of graph edge information. We apply our new models to graph node classification on several citation networks, whole graph classification, and regression on several molecular datasets. Compared with the current state-of-the-art methods, i.e., GCNs and GAT, our models obtain better performance, which testify to the importance of exploiting edge features in graph neural networks.",60015941,University of Kentucky,Lexington,United States,"['1712', '1707']",22.2,0.1255681818181818,0.4051677489177489,1,0.09818181818181818,0.04727272727272727,0.35797665369649806
13,14,14,Citation recommendation with a content-sensitive deepwalk based approach,"Systems for recommending scientific papers mainly help researchers to find a list of references that related to the researcher's interest effectively and automatically. Many state-of-the-art technique have been used for recommendation system, however, the traditional approaches has the issues of data scarcities and cold start, and existing recommended approaches with network representation only focus on one aspect of node information and cannot leverage content information. In this paper, we proposed a Citation Recommendation method with a Content-Aware bibliographic network representation, called CR-CA, whose recommended process contains two levels: (1) At the node content level, the proposed approach calculates similarities between the target and candidate papers, selecting an initial seed set of papers; (2) At the citation network structure level, this approach exploits citation relationship between papers to study latent representation of the scientific papers based on a deep natural language method-DeepWalk. The proposed approach was tested on the AAN dataset demonstrate that this approach outperforms baseline algorithms, in the true positive rate (Recall) and normalized discounted cumulative gain (NDCG).",60031041,Northwest A&amp;F University,Yangling,China,"['1706', '1712']",42.25,0.04568764568764568,0.5983682983682984,1,0.11594202898550725,0.03864734299516908,0.37435897435897436
14,15,15,Using machine learning algorithms to detect suicide risk factors on twitter,"The goal from this study is to identify suicide risk factors on Twitter. We propose a machine learning framework that could be potentially useful for suicide prevention interventions. We applied search terms from the suicidal ideation tracking framework pro-posed by Jashinsky et al. and downloaded 12,066 public tweets from 3,873 users via Twitter's application programming interface (API). We created 'HighRisk' or 'AtRisk' labels for users based on their suicidal ideation terms' usage and applied three topic discovery algorithms to find underlying suicide risk factors among users, which were subsequently used to classify users into 'HighRisk' or 'AtRisk'. Algorithms applied included Latent Semantic Analysis, Latent Dirichlet Allocation, Non-negative Matrix Factorization, Decision Tree and K-means Clustering. Our topic discovery approach detected 7 out of 12 suicide risk factors proposed by Jashinsky et al. Using a decision tree classification model that utilized these factors, we achieved 0.844 in precision, 0.912 in sensitivity, and 0.829 in specificity in classifying users into 'HighRisk' and 'AtRisk' groups. The development of this framework supplements suicide researchers and suicide preven-tion efforts, with a potential to be employed at run-time.",60026860,DePaul University,Chicago,United States,"['1706', '1712']",20.11111111111111,0.075,0.2791666666666667,1,0.11607142857142858,0.12053571428571429,0.47115384615384615
15,16,16,Unprocessing images for learned raw denoising,"Machine learning techniques work best when the data used for training resembles the data used for evaluation. This holds true for learned single-image denoising algorithms, which are applied to real raw camera sensor readings but, due to practical constraints, are often trained on synthetic image data. Though it is understood that generalizing from synthetic to real images requires careful consideration of the noise properties of camera sensors, the other aspects of an image processing pipeline (such as gain, color correction, and tone mapping) are often overlooked, despite their significant effect on how raw measurements are transformed into finished images. To address this, we present a technique to 'unprocess' images by inverting each step of an image processing pipeline, thereby allowing us to synthesize realistic raw sensor measurements from commonly available Internet photos. We additionally model the relevant components of an image processing pipeline when evaluating our loss function, which allows training to be aware of all relevant photometric processing that will occur after denoising. By unprocessing and processing training data and model outputs in this way, we are able to train a simple convolutional neural network that has 14%-38% lower error rates and is 9×-18× faster than the previous state of the art on the Darmstadt Noise Dataset, and generalizes to sensors outside of that dataset as well.",60025038,"University of California, Berkeley",Berkeley,United States,"['1712', '1707']",36.333333333333336,0.1293956043956044,0.4748822605965464,1,0.11934156378600823,0.012345679012345678,0.3181818181818182
16,17,17,Group sampling for scale invariant face detection,"Detectors based on deep learning tend to detect multi-scale faces on a single input image for efficiency. Recent works, such as FPN and SSD, generally use feature maps from multiple layers with different spatial resolutions to detect objects at different scales, e.g., high-resolution feature maps for small objects. However, we find that such multi-layer prediction is not necessary. Faces at all scales can be well detected with features from a single layer of the network. In this paper, we carefully examine the factors affecting face detection across a large range of scales, and conclude that the balance of training samples, including both positive and negative ones, at different scales is the key. We propose a group sampling method which divides the anchors into several groups according to the scale, and ensure that the number of samples for each group is the same during training. Our approach using only the last layer of FPN as features is able to advance the state-of-the-arts. Comprehensive analysis and extensive experiments have been conducted to show the effectiveness of the proposed method. Our approach, evaluated on face detection benchmarks including FDDB and WIDER FACE datasets, achieves state-of-the-art results without bells and whistles.",60098464,Microsoft Research Asia,Beijing,China,"['1712', '1707']",21.88888888888889,0.00827922077922078,0.4709415584415584,1,0.1016949152542373,0.0211864406779661,0.3302752293577982
17,18,18,Learning actor relation graphs for group activity recognition,"Modeling relation between actors is important for recognizing group activity in a multi-person scene. This paper aims at learning discriminative relation between actors efficiently using deep models. To this end, we propose to build a flexible and efficient {rm Actor Relation Graph} (ARG) to simultaneously capture the appearance and position relation between actors. Thanks to the Graph Convolutional Network, the connections in ARG could be automatically learned from group activity videos in an end-to-end manner, and the inference on ARG could be efficiently performed with standard matrix operations. Furthermore, in practice, we come up with two variants to sparsify ARG for more effective modeling in videos: spatially localized ARG and temporal randomized ARG. We perform extensive experiments on two standard group activity recognition datasets: the Volleyball dataset and the Collective Activity dataset, where state-of-the-art performance is achieved on both datasets. We also visualize the learned actor graphs and relation features, which demonstrate that the proposed ARG is able to capture the discriminative relation information for group activity recognition.",60033100,Nanjing University,Nanjing,China,"['1712', '1707']",24.0,0.2444444444444445,0.4287037037037037,1,0.105,0.06,0.3829787234042553
18,19,19,Deep robust subjective visual property prediction in crowdsourcing,"The problem of estimating subjective visual properties (SVP) of images (e.g., Shoes A is more comfortable than B) is gaining rising attention. Due to its highly subjective nature, different annotators often exhibit different interpretations of scales when adopting absolute value tests. Therefore, recent investigations turn to collect pairwise comparisons via crowdsourcing platforms. However, crowdsourcing data usually contains outliers. For this purpose, it is desired to develop a robust model for learning SVP from crowdsourced noisy annotations. In this paper, we construct a deep SVP prediction model which not only leads to better detection of annotation outliers but also enables learning with extremely sparse annotations. Specifically, we construct a comparison multi-graph based on the collected annotations, where different labeling results correspond to edges with different directions between two vertexes. Then, we propose a generalized deep probabilistic framework which consists of an SVP prediction module and an outlier modeling module that work collaboratively and are optimized jointly. Extensive experiments on various benchmark datasets demonstrate that our new approach guarantees promising results.",60027363,University of Chinese Academy of Sciences,Beijing,China,"['1712', '1707']",18.777777777777782,0.07601731601731603,0.5287085137085138,1,0.15544041450777202,0.031088082901554404,0.3612565445026178
19,20,20,Pay attention!-Robustifying a deep visuomotor policy through task-focused visual attention,"Several recent studies have demonstrated the promise of deep visuomotor policies for robot manipulator control. Despite impressive progress, these systems are known to be vulnerable to physical disturbances, such as accidental or adversarial bumps that make them drop the manipulated object. They also tend to be distracted by visual disturbances such as objects moving in the robot's field of view, even if the disturbance does not physically prevent the execution of the task. In this paper, we propose an approach for augmenting a deep visuomotor policy trained through demonstrations with Task Focused visual Attention (TFA). The manipulation task is specified with a natural language text such as 'move the red bowl to the left'. This allows the visual attention component to concentrate on the current object that the robot needs to manipulate. We show that even in benign environments, the TFA allows the policy to consistently outperform a variant with no attention mechanism. More importantly, the new policy is significantly more robust: It regularly recovers from severe physical disturbances (such as bumps causing it to drop the object) from which the baseline policy, i.e. with no visual attention, almost never recovers. In addition, we show that the proposed policy performs correctly in the presence of a wide class of visual disturbances, exhibiting a behavior reminiscent of human selective visual attention experiments.",60022144,University of Central Florida,Orlando,United States,"['1712', '1707']",22.1,0.07144886363636363,0.29875124875124875,1,0.10887096774193548,0.008064516129032258,0.2862903225806452
20,21,21,Relational action forecasting,"This paper focuses on multi-person action forecasting in videos. More precisely, given a history of H previous frames, the goal is to detect actors and to predict their future actions for the next T frames. Our approach jointly models temporal and spatial interactions among different actors by constructing a recurrent graph, using actor proposals obtained with Faster R-CNN as nodes. Our method learns to select a subset of discriminative relations without requiring explicit supervision, thus enabling us to tackle challenging visual data. We refer to our model as Discriminative Relational Recurrent Network (DRRN). Evaluation of action prediction on AVA demonstrates the effectiveness of our proposed method compared to simpler baselines. Furthermore, we significantly improve performance on the task of early action classification on J-HMDB, from the previous SOTA of 48% to 60%.",60020304,University of Maryland,College Park,United States,"['1712', '1707']",18.857142857142858,0.13154761904761908,0.34523809523809523,1,0.11612903225806452,0.07741935483870968,0.40268456375838924
21,22,22,Nesti-net: Normal estimation for unstructured 3D point clouds using convolutional neural networks,"In this paper, we propose a normal estimation method for unstructured 3D point clouds. This method, called Nesti-Net, builds on a new local point cloud representation which consists of multi-scale point statistics (MuPS), estimated on a local coarse Gaussian grid. This representation is a suitable input to a CNN architecture. The normals are estimated using a mixture-of-experts (MoE) architecture, which relies on a data-driven approach for selecting the optimal scale around each point and encourages sub-network specialization. Interesting insights into the network's resource distribution are provided. The scale prediction significantly improves robustness to different noise levels, point density variations and different levels of detail. We achieve state-of-the-art results on a benchmark synthetic dataset and present qualitative results on real scanned scenes.",101136616,Techion Institute,Haifa,Israel,"['1712', '1707']",17.285714285714285,0.15928030303030302,0.4357954545454545,1,0.09554140127388536,0.03184713375796178,0.4028776978417266
22,23,23,Learning joint gait representation via quintuplet loss minimization,"Gait recognition is an important biometric method popularly used in video surveillance, where the task is to identify people at a distance by their walking patterns from video sequences. Most of the current successful approaches for gait recognition either use a pair of gait images to form a cross-gait representation or rely on a single gait image for unique-gait representation. These two types of representations emperically complement one another. In this paper, we propose a new Joint Unique-gait and Cross-gait Network (JUCNet), to combine the advantages of unique-gait representation with that of cross-gait representation, leading to an significantly improved performance. Another key contribution of this paper is a novel quintuplet loss function, which simultaneously increases the inter-class differences by pushing representations extracted from different subjects apart and decreases the intra-class variations by pulling representations extracted from the same subject together. Experiments show that our method achieves the state-of-the-art performance tested on standard benchmark datasets, demonstrating its superiority over existing methods.",60114181,Tencent,Shenzhen,China,"['1712', '1707']",26.66666666666667,0.1940975690975691,0.5655511155511155,1,0.11224489795918367,0.04081632653061224,0.3160919540229885
23,24,24,Neuro-inspired eye tracking with eye movement dynamics,"Generalizing eye tracking to new subjects/environments remains challenging for existing appearance-based methods. To address this issue, we propose to leverage on eye movement dynamics inspired by neurological studies. Studies show that there exist several common eye movement types, independent of viewing contents and subjects, such as fixation, saccade, and smooth pursuits. Incorporating generic eye movement dynamics can therefore improve the generalization capabilities. In particular, we propose a novel Dynamic Gaze Transition Network (DGTN) to capture the underlying eye movement dynamics and serve as the topdown gaze prior. Combined with the bottom-up gaze measurements from the deep convolutional neural network, our method achieves better performance for both within-dataset and cross-dataset evaluations compared to state-of-the-art. In addition, a new DynamicGaze dataset is also constructed to study eye movement dynamics and eye gaze estimation.",60021293,International Business Machines,Armonk,United States,"['1712', '1707']",18.714285714285715,0.10995670995670992,0.3524350649350649,1,0.14634146341463414,0.036585365853658534,0.3581081081081081
24,25,25,Neural rejuvenation: Improving deep network training by enhancing computational resource utilization,"In this paper, we study the problem of improving computational resource utilization of neural networks. Deep neural networks are usually over-parameterized for their tasks in order to achieve good performances, thus are likely to have underutilized computational resources. This observation motivates a lot of research topics, e.g. network pruning, architecture search, etc. As models with higher computational costs (e.g. more parameters or more computations) usually have better performances, we study the problem of improving the resource utilization of neural networks so that their potentials can be further realized. To this end, we propose a novel optimization method named Neural Rejuvenation. As its name suggests, our method detects dead neurons and computes resource utilization in real time, rejuvenates dead neurons by resource reallocation and reinitialization, and trains them with new training schemes. By simply replacing standard optimizers with Neural Rejuvenation, we are able to improve the performances of neural networks by a very large margin while using similar training efforts and maintaining their original resource usages. The code is available here: Https://github.com/joe-siyuan-qiao/NeuralRejuvenation-CVPR19",60076047,Adobe Inc.,San Jose,United States,"['1712', '1707']",17.1,0.1638064316635745,0.4592300556586271,1,0.10824742268041238,0.020618556701030927,0.37244897959183676
25,26,26,Sketchgan: Joint sketch completion and recognition with generative adversarial network,"Hand-drawn sketch recognition is a fundamental problem in computer vision, widely used in sketch-based image and video retrieval, editing, and reorganization. Previous methods often assume that a complete sketch is used as input; however, hand-drawn sketches in common application scenarios are often incomplete, which makes sketch recognition a challenging problem. In this paper, we propose SketchGAN, a new generative adversarial network (GAN) based approach that jointly completes and recognizes a sketch, boosting the performance of both tasks. Specifically, we use a cascade Encode-Decoder network to complete the input sketch in an iterative manner, and employ an auxiliary sketch recognition task to recognize the completed sketch. Experiments on the Sketchy database benchmark demonstrate that our joint learning approach achieves competitive sketch completion and recognition performance compared with the state-of-the-art methods. Further experiments using several sketch-based applications also validate the performance of our method.",60027363,University of Chinese Academy of Sciences,Beijing,China,"['1712', '1707']",23.66666666666667,0.029966329966329964,0.4245791245791246,1,0.12994350282485875,0.01694915254237288,0.32919254658385094
26,27,27,Computation of LAX shock tube test case through large time step scheme with compressive limiters,"Computation of accurate and efficient numerical results for space vehicle design and analysis is a challenging task because it takes large computational time to predict complex flow physics of space vehicle. Space vehicle travels through continuum as well as rarefied region during flight. Continuum region aerodynamics can be predicted by solving Navier Stokes equation. Explicit schemes require low computational hardware facility but increase computational time by limiting time step to a certain limit defined by stability criteria. An extensive research is being done for last three decades to overcome this stability restriction. Initially, Harten proposed a large time step Total Variation Diminishing (TVD) second order accurate (2K+3) point scheme with explicit formulation under a CFL restriction of K. Harten’s developed large time step scheme and its modified Qian’s form have been tested with minmod limiter extensively. However detailed analysis of these schemes with more compressive limiter is still in progress. Present research investigates Qian’s modified large time step scheme behavior with compressive limiters for complex flow physics. Shock tube problem with Lax boundary condition is computed to point out advantages and short comings of Qian’s proposed modified scheme.",60089655,"Institute of Space Technology, Islamabad",Islamabad,Pakistan,['1700'],18.8,0.12597402597402602,0.40844155844155855,1,0.11165048543689321,0.06310679611650485,0.3
27,28,28,Divide and conquer the embedding space for metric learning,"Learning the embedding space, where semantically similar objects are located close together and dissimilar objects far apart, is a cornerstone of many computer vision applications. Existing approaches usually learn a single metric in the embedding space for all available data points, which may have a very complex non-uniform distribution with different notions of similarity between objects, e.g. appearance, shape, color or semantic meaning. Approaches for learning a single distance metric often struggle to encode all different types of relationships and do not generalize well. In this work, we propose a novel easy-to-implement divide and conquer approach for deep metric learning, which significantly improves the state-of-the-art performance of metric learning. Our approach utilizes the embedding space more efficiently by jointly splitting the embedding space and data into K smaller sub-problems. It divides both, the data and the embedding space into K subsets and learns K separate distance metrics in the non-overlapping subspaces of the embedding space, defined by groups of neurons in the embedding layer of the neural network. The proposed approach increases the convergence speed and improves generalization since the complexity of each sub-problem is reduced compared to the original one. We show that our approach outperforms the state-of-the-art by a large margin in retrieval, clustering and re-identification tasks on CUB200-2011, CARS196, Stanford Online Products, In-shop Clothes and PKU VehicleID datasets. Source code: https://bit.ly/dcesml.",60016908,Universität Heidelberg,Heidelberg,Germany,"['1712', '1707']",22.4,0.1050892857142857,0.5095089285714286,1,0.08992805755395683,0.03597122302158273,0.3426294820717131
28,29,29,Query-guided end-to-end person search,"Person search has recently gained attention as the novel task of finding a person, provided as a cropped sample, from a gallery of non-cropped images, whereby several other people are also visible. We believe that i. person detection and re-identification should be pursued in a joint optimization framework and that ii. the person search should leverage the query image extensively (e.g. emphasizing unique query patterns). However, so far, no prior art realizes this. We introduce a novel query-guided end-to-end person search network (QEEPS) to address both aspects. We leverage a most recent joint detector and re-identification work, OIM [37]. We extend this with i. a query-guided Siamese squeeze-and-excitation network (QSSE-Net) that uses global context from both the query and gallery images, ii. a query-guided region proposal network (QRPN) to produce query-relevant proposals, and iii. a query-guided similarity subnetwork (QSimNet), to learn a query-guided re-identification score. QEEPS is the first end-to-end query-guided detection and re-id network. On both the most recent CUHK-SYSU [37] and PRW [46] datasets, we outperform the previous state-of-the-art by a large margin.",60077063,OSRAM GmbH,Munich,Germany,"['1712', '1707']",12.5,0.10984126984126984,0.3591269841269841,1,0.10465116279069768,0.050387596899224806,0.431924882629108
